## Fri Dec  2 12:43:26 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-OL67_RS12010	1423144.Gal_00883	0.0	912.0	COG0055@1|root,COG0055@2|Bacteria,1MUFU@1224|Proteobacteria,2TRGP@28211|Alphaproteobacteria,34F3U@302485|Phaeobacter	28211|Alphaproteobacteria	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits	atpD	-	3.6.3.14	ko:K02112	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	ATP-synt_ab,ATP-synt_ab_N
gene-OL67_RS12015	391619.PGA1_c25100	2.03e-194	541.0	COG0224@1|root,COG0224@2|Bacteria,1MU28@1224|Proteobacteria,2TR11@28211|Alphaproteobacteria,34ERS@302485|Phaeobacter	28211|Alphaproteobacteria	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	atpG	-	-	ko:K02115	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt
gene-OL67_RS12020	1423144.Gal_00881	0.0	978.0	COG0056@1|root,COG0056@2|Bacteria,1MUG7@1224|Proteobacteria,2TQYK@28211|Alphaproteobacteria,34EC2@302485|Phaeobacter	28211|Alphaproteobacteria	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	atpA	-	3.6.3.14	ko:K02111	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N
gene-OL67_RS12025	1423144.Gal_00880	6.42e-113	326.0	COG0712@1|root,COG0712@2|Bacteria,1MVRH@1224|Proteobacteria,2U5IC@28211|Alphaproteobacteria,34DSH@302485|Phaeobacter	28211|Alphaproteobacteria	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpH	-	-	ko:K02113	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	OSCP
gene-OL67_RS12030	1423144.Gal_00879	7.76e-181	503.0	COG2227@1|root,COG2227@2|Bacteria,1QV6Z@1224|Proteobacteria,2TWBU@28211|Alphaproteobacteria,34E91@302485|Phaeobacter	28211|Alphaproteobacteria	H	COG0500 SAM-dependent methyltransferases	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
gene-OL67_RS12035	1423144.Gal_00878	1.08e-171	480.0	COG0491@1|root,COG0491@2|Bacteria,1MU8Q@1224|Proteobacteria,2TSVS@28211|Alphaproteobacteria,34F73@302485|Phaeobacter	28211|Alphaproteobacteria	S	Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid	gloB	GO:0003674,GO:0003824,GO:0004416,GO:0006518,GO:0006575,GO:0006749,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0016790,GO:0034641,GO:0043603,GO:0044237,GO:0051186,GO:0071704,GO:1901564	3.1.2.6	ko:K01069	ko00620,map00620	-	R01736	RC00004,RC00137	ko00000,ko00001,ko01000	-	-	-	HAGH_C,Lactamase_B
gene-OL67_RS12040	391619.PGA1_c25150	0.0	1489.0	COG0542@1|root,COG0542@2|Bacteria,1MV8B@1224|Proteobacteria,2TQUZ@28211|Alphaproteobacteria,34DV5@302485|Phaeobacter	28211|Alphaproteobacteria	O	C-terminal, D2-small domain, of ClpB protein	clpA	GO:0000166,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006807,GO:0006950,GO:0006979,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043335,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564	-	ko:K03694	-	-	-	-	ko00000,ko03110	-	-	-	AAA,AAA_2,ClpB_D2-small,Clp_N
gene-OL67_RS12045	1423144.Gal_00876	4.78e-223	615.0	COG0739@1|root,COG0739@2|Bacteria,1PVZJ@1224|Proteobacteria,2TRAB@28211|Alphaproteobacteria,34ED5@302485|Phaeobacter	28211|Alphaproteobacteria	M	Peptidase family M23	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M23
gene-OL67_RS12050	1423144.Gal_00875	3.57e-123	352.0	COG3860@1|root,COG3860@2|Bacteria,1RH83@1224|Proteobacteria,2U9BI@28211|Alphaproteobacteria,34GBV@302485|Phaeobacter	28211|Alphaproteobacteria	S	Uncharacterized protein conserved in bacteria (DUF2087)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2087
gene-OL67_RS12055	1423144.Gal_00874	1.31e-211	613.0	COG1196@1|root,COG1360@1|root,COG1196@2|Bacteria,COG1360@2|Bacteria,1MU4S@1224|Proteobacteria,2TQKZ@28211|Alphaproteobacteria,34EJT@302485|Phaeobacter	28211|Alphaproteobacteria	DN	OmpA family	motB	-	-	ko:K02557	ko02030,ko02040,map02030,map02040	-	-	-	ko00000,ko00001,ko02000,ko02035	1.A.30.1	-	-	OmpA
gene-OL67_RS12060	1423144.Gal_00873	2.97e-267	733.0	COG1511@1|root,COG1511@2|Bacteria,1NYJB@1224|Proteobacteria,2TSX0@28211|Alphaproteobacteria,34DSA@302485|Phaeobacter	28211|Alphaproteobacteria	S	MotA TolQ ExbB proton channel family	MA20_18055	-	-	-	-	-	-	-	-	-	-	-	MotA_ExbB
gene-OL67_RS12065	1423144.Gal_00872	5.47e-125	355.0	COG3703@1|root,COG3703@2|Bacteria,1QA7D@1224|Proteobacteria,2U7C6@28211|Alphaproteobacteria,34FCH@302485|Phaeobacter	28211|Alphaproteobacteria	P	Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides	chaC	-	-	ko:K07232	-	-	-	-	ko00000	-	-	-	ChaC
gene-OL67_RS12070	391619.PGA1_c25210	5.34e-208	578.0	COG4093@1|root,COG4093@2|Bacteria,1R5ZP@1224|Proteobacteria,2U3GC@28211|Alphaproteobacteria,34E85@302485|Phaeobacter	28211|Alphaproteobacteria	S	Uncharacterized protein conserved in bacteria (DUF2125)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2125
gene-OL67_RS12075	391619.PGA1_c25220	4.2e-184	514.0	COG3921@1|root,COG3921@2|Bacteria,1PZMM@1224|Proteobacteria,2TR6H@28211|Alphaproteobacteria,34EFM@302485|Phaeobacter	28211|Alphaproteobacteria	S	Extensin-like protein C-terminus	-	-	-	-	-	-	-	-	-	-	-	-	Extensin-like_C
gene-OL67_RS12080	391619.PGA1_c25230	4.22e-214	592.0	COG0287@1|root,COG0287@2|Bacteria,1QTZA@1224|Proteobacteria,2TS12@28211|Alphaproteobacteria,34EA9@302485|Phaeobacter	28211|Alphaproteobacteria	E	Prephenate dehydrogenase	tyrC	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006082,GO:0006520,GO:0006570,GO:0006571,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008977,GO:0009058,GO:0009072,GO:0009073,GO:0009095,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019438,GO:0019752,GO:0036094,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046983,GO:0047794,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0070403,GO:0071704,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.3.1.12,1.3.1.43	ko:K00210,ko:K00220,ko:K04517	ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230	M00025,M00040	R00732,R01728	RC00125	ko00000,ko00001,ko00002,ko01000	-	-	-	PDH
gene-OL67_RS12085	391619.PGA1_c25240	7.4e-254	697.0	COG0079@1|root,COG0079@2|Bacteria,1MW7I@1224|Proteobacteria,2TQPN@28211|Alphaproteobacteria,34EUQ@302485|Phaeobacter	28211|Alphaproteobacteria	E	Aminotransferase class I and II	hisC	-	2.6.1.9	ko:K00817	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03243	RC00006,RC00888	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
gene-OL67_RS12090	1423144.Gal_00867	7.8e-107	308.0	COG1522@1|root,COG1522@2|Bacteria,1RDB3@1224|Proteobacteria,2VG6R@28211|Alphaproteobacteria,34EKC@302485|Phaeobacter	28211|Alphaproteobacteria	K	AsnC-type helix-turn-helix domain	-	-	-	ko:K05800	-	-	-	-	ko00000,ko03000	-	-	-	AsnC_trans_reg,HTH_24
gene-OL67_RS12095	1423144.Gal_00866	3.93e-134	380.0	28KIU@1|root,33S3J@2|Bacteria,1NSA7@1224|Proteobacteria,2UQ1K@28211|Alphaproteobacteria,34FJF@302485|Phaeobacter	28211|Alphaproteobacteria	S	PA14 domain	-	-	-	-	-	-	-	-	-	-	-	-	PA14
gene-OL67_RS12100	391619.PGA1_c25280	4.9e-145	409.0	COG0522@1|root,COG0522@2|Bacteria,1MW0U@1224|Proteobacteria,2TRQH@28211|Alphaproteobacteria,34EBU@302485|Phaeobacter	28211|Alphaproteobacteria	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006417,GO:0006450,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0015935,GO:0019222,GO:0019843,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0045727,GO:0045903,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0065008,GO:0080090,GO:0097159,GO:1901363,GO:1990904,GO:2000112	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S4,S4
gene-OL67_RS12105	391619.PGA1_c25290	1.88e-250	688.0	COG2931@1|root,COG2931@2|Bacteria,1R4PX@1224|Proteobacteria,2TUD5@28211|Alphaproteobacteria,34EJS@302485|Phaeobacter	28211|Alphaproteobacteria	Q	Hint domain	-	-	-	-	-	-	-	-	-	-	-	-	Hint_2
gene-OL67_RS12120	1423144.Gal_01392	3.67e-64	201.0	COG1028@1|root,COG1028@2|Bacteria,1RA3U@1224|Proteobacteria,2U640@28211|Alphaproteobacteria,34G9S@302485|Phaeobacter	28211|Alphaproteobacteria	IQ	NAD dependent epimerase/dehydratase family	-	-	-	-	-	-	-	-	-	-	-	-	adh_short,adh_short_C2
gene-OL67_RS12155	1423144.Gal_00856	0.0	1317.0	COG0446@1|root,COG1902@1|root,COG0446@2|Bacteria,COG1902@2|Bacteria,1MVE0@1224|Proteobacteria,2TQV0@28211|Alphaproteobacteria,34DUH@302485|Phaeobacter	28211|Alphaproteobacteria	C	NADH:flavin oxidoreductase / NADH oxidase family	stcD	-	-	ko:K21833	-	-	-	-	ko00000	-	-	-	NAD_binding_8,Oxidored_FMN,Pyr_redox_2
gene-OL67_RS12160	391619.PGA1_c25720	7.98e-190	529.0	COG0583@1|root,COG0583@2|Bacteria,1PX1B@1224|Proteobacteria,2TUE7@28211|Alphaproteobacteria,34GJ0@302485|Phaeobacter	28211|Alphaproteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene-OL67_RS12165	391619.PGA1_c25730	5.96e-51	162.0	COG5470@1|root,COG5470@2|Bacteria,1NE6C@1224|Proteobacteria,2UF8J@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Domain of unknown function (DUF1330)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1330
gene-OL67_RS12170	391619.PGA1_c25740	0.0	1832.0	COG3383@1|root,COG3383@2|Bacteria,1QTZB@1224|Proteobacteria,2TVZI@28211|Alphaproteobacteria,34E5K@302485|Phaeobacter	28211|Alphaproteobacteria	C	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	fdhA	-	1.17.1.9	ko:K00123	ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200	-	R00519	RC02796	ko00000,ko00001,ko01000	-	-	-	Fer2_4,Fer4,Fer4_7,Fer4_9,Molybdop_Fe4S4,Molybdopterin,Molydop_binding
gene-OL67_RS12175	391619.PGA1_c25750	0.0	1170.0	COG1894@1|root,COG1905@1|root,COG1894@2|Bacteria,COG1905@2|Bacteria,1MV8F@1224|Proteobacteria,2TR1V@28211|Alphaproteobacteria,34E8Q@302485|Phaeobacter	28211|Alphaproteobacteria	C	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	nuoEF	-	1.17.1.9	ko:K00122	ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200	-	R00519	RC02796	ko00000,ko00001,ko01000	-	-	-	2Fe-2S_thioredx,Complex1_51K,NADH_4Fe-4S,SLBB
gene-OL67_RS12180	391619.PGA1_c25760	8.42e-196	546.0	COG0583@1|root,COG0583@2|Bacteria,1N4P5@1224|Proteobacteria,2TQYX@28211|Alphaproteobacteria,34F23@302485|Phaeobacter	28211|Alphaproteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene-OL67_RS12185	1423144.Gal_00851	3.5e-114	328.0	COG5631@1|root,COG5631@2|Bacteria,1RDM3@1224|Proteobacteria,2U8FW@28211|Alphaproteobacteria,34FVW@302485|Phaeobacter	28211|Alphaproteobacteria	K	Winged helix DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_27
gene-OL67_RS12190	1423144.Gal_00849	0.0	1021.0	COG0840@1|root,COG2770@1|root,COG0840@2|Bacteria,COG2770@2|Bacteria,1MU9B@1224|Proteobacteria,2TQR7@28211|Alphaproteobacteria,34G3Q@302485|Phaeobacter	28211|Alphaproteobacteria	NT	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).	-	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	HAMP,MCPsignal,PAS_4,PAS_8,PAS_9,dCache_1
gene-OL67_RS12195	1423144.Gal_00848	5.15e-272	746.0	COG4076@1|root,COG4076@2|Bacteria,1R46U@1224|Proteobacteria,2U32I@28211|Alphaproteobacteria,34F3N@302485|Phaeobacter	28211|Alphaproteobacteria	S	Ribosomal protein L11 methyltransferase (PrmA)	-	-	-	-	-	-	-	-	-	-	-	-	PrmA,TPR_1,TPR_16,TPR_8
gene-OL67_RS12200	391619.PGA1_c25810	0.0	954.0	COG0488@1|root,COG0488@2|Bacteria,1MX6Y@1224|Proteobacteria,2U10A@28211|Alphaproteobacteria,34G29@302485|Phaeobacter	28211|Alphaproteobacteria	S	ATPases associated with a variety of cellular activities	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran
gene-OL67_RS12205	1423144.Gal_00846	4.28e-107	309.0	COG0454@1|root,COG0454@2|Bacteria,1QUHE@1224|Proteobacteria,2TWXT@28211|Alphaproteobacteria,34FH3@302485|Phaeobacter	28211|Alphaproteobacteria	K	Acetyltransferase (GNAT) domain	-	-	-	ko:K03829	-	-	-	-	ko00000,ko01000	-	-	-	Acetyltransf_1
gene-OL67_RS12215	391619.PGA1_c25890	3.87e-233	644.0	COG0614@1|root,COG0614@2|Bacteria,1R75I@1224|Proteobacteria,2TTKU@28211|Alphaproteobacteria,34G4X@302485|Phaeobacter	28211|Alphaproteobacteria	P	Periplasmic binding protein	-	-	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	Peripla_BP_2
gene-OL67_RS12220	391619.PGA1_c25900	3.17e-207	577.0	COG0609@1|root,COG0609@2|Bacteria,1MYYG@1224|Proteobacteria,2TTD8@28211|Alphaproteobacteria,34G4Z@302485|Phaeobacter	28211|Alphaproteobacteria	U	FecCD transport family	fecC	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
gene-OL67_RS12225	1423144.Gal_00840	6.74e-188	528.0	COG4779@1|root,COG4779@2|Bacteria,1NXD0@1224|Proteobacteria,2TTTK@28211|Alphaproteobacteria,34GEC@302485|Phaeobacter	28211|Alphaproteobacteria	U	FecCD transport family	fepG	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
gene-OL67_RS12230	1423144.Gal_00839	1.61e-179	500.0	COG1120@1|root,COG1120@2|Bacteria,1MUNG@1224|Proteobacteria,2TTZ2@28211|Alphaproteobacteria,34FT2@302485|Phaeobacter	28211|Alphaproteobacteria	HP	AAA domain, putative AbiEii toxin, Type IV TA system	fepC	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
gene-OL67_RS12235	391619.PGA1_c25930	4.39e-245	674.0	COG2375@1|root,COG2375@2|Bacteria,1R4TD@1224|Proteobacteria,2U50Y@28211|Alphaproteobacteria,34G6P@302485|Phaeobacter	28211|Alphaproteobacteria	P	Siderophore-interacting FAD-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_9,SIP
gene-OL67_RS12240	391619.PGA1_c25940	1.98e-158	454.0	COG0811@1|root,COG0811@2|Bacteria,1MX5J@1224|Proteobacteria,2TU50@28211|Alphaproteobacteria,34F0I@302485|Phaeobacter	28211|Alphaproteobacteria	U	MotA/TolQ/ExbB proton channel family	-	-	-	ko:K03561	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	MotA_ExbB
gene-OL67_RS12245	391619.PGA1_c25950	9.51e-81	239.0	COG0848@1|root,COG0848@2|Bacteria,1MZVY@1224|Proteobacteria,2UCHQ@28211|Alphaproteobacteria,34FQ9@302485|Phaeobacter	28211|Alphaproteobacteria	U	Biopolymer transport protein ExbD/TolR	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
gene-OL67_RS12250	391619.PGA1_c25960	3.19e-79	236.0	COG0848@1|root,COG0848@2|Bacteria,1N9Y7@1224|Proteobacteria,2UFRE@28211|Alphaproteobacteria,34FR1@302485|Phaeobacter	28211|Alphaproteobacteria	U	Biopolymer transport protein ExbD/TolR	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
gene-OL67_RS12255	391619.PGA1_c25970	1.01e-113	336.0	COG0810@1|root,COG0810@2|Bacteria,1PFN3@1224|Proteobacteria,2VAPQ@28211|Alphaproteobacteria,34EI9@302485|Phaeobacter	28211|Alphaproteobacteria	M	Gram-negative bacterial TonB protein C-terminal	-	-	-	ko:K03832	-	-	-	-	ko00000,ko02000	2.C.1.1	-	-	TonB_2
gene-OL67_RS12260	1423144.Gal_00833	0.0	1353.0	COG4773@1|root,COG4773@2|Bacteria,1QTT0@1224|Proteobacteria,2TQSQ@28211|Alphaproteobacteria,34G34@302485|Phaeobacter	28211|Alphaproteobacteria	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
gene-OL67_RS12265	1423144.Gal_00832	1.48e-238	660.0	COG1018@1|root,COG1018@2|Bacteria,1RF85@1224|Proteobacteria,2UBB2@28211|Alphaproteobacteria,34GF9@302485|Phaeobacter	28211|Alphaproteobacteria	C	Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_1
gene-OL67_RS12270	391619.PGA1_c26010	7.03e-93	272.0	COG1846@1|root,COG1846@2|Bacteria,1RDGK@1224|Proteobacteria,2U9DY@28211|Alphaproteobacteria,34G16@302485|Phaeobacter	28211|Alphaproteobacteria	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	ko:K06075	-	-	-	-	ko00000,ko03000	-	-	-	MarR,MarR_2
gene-OL67_RS12275	1423144.Gal_00825	2.22e-206	572.0	COG4286@1|root,COG4286@2|Bacteria,1MVTY@1224|Proteobacteria,2TSRG@28211|Alphaproteobacteria,34GFI@302485|Phaeobacter	28211|Alphaproteobacteria	S	Uncharacterised protein family (UPF0160)	-	-	-	-	-	-	-	-	-	-	-	-	UPF0160
gene-OL67_RS12280	1423144.Gal_00824	4.48e-157	443.0	COG2813@1|root,COG2813@2|Bacteria,1RE20@1224|Proteobacteria,2U8BF@28211|Alphaproteobacteria,34GCD@302485|Phaeobacter	28211|Alphaproteobacteria	J	Specifically methylates the guanine in position	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS12290	391619.PGA1_c26120	1.3e-315	866.0	COG0666@1|root,COG0666@2|Bacteria,1P877@1224|Proteobacteria,2U33E@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	COG0666 FOG Ankyrin repeat	-	-	-	-	-	-	-	-	-	-	-	-	Ank,Ank_2
gene-OL67_RS12295	1423144.Gal_00820	4.4e-78	233.0	2B1DD@1|root,31TU1@2|Bacteria,1MYAF@1224|Proteobacteria,2UAYN@28211|Alphaproteobacteria,34GGI@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS12300	391619.PGA1_c26140	0.0	1674.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,2TRVY@28211|Alphaproteobacteria,34G0M@302485|Phaeobacter	28211|Alphaproteobacteria	Q	Bacterial pre-peptidase C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	HemolysinCabind,PPC,Peptidase_M10_C
gene-OL67_RS12305	391619.PGA1_c26150	1.74e-68	207.0	2C7TH@1|root,32RJS@2|Bacteria,1MZK8@1224|Proteobacteria,2UC2R@28211|Alphaproteobacteria,34FSD@302485|Phaeobacter	28211|Alphaproteobacteria	S	ETC complex I subunit conserved region	MA20_30235	-	1.6.5.3	ko:K00329	ko00190,map00190	-	R11945	RC00061	ko00000,ko00001,ko01000	-	-	-	ETC_C1_NDUFA4
gene-OL67_RS12310	1423144.Gal_00817	0.0	1420.0	COG0556@1|root,COG0556@2|Bacteria,1MUFK@1224|Proteobacteria,2TQSP@28211|Alphaproteobacteria,34E6P@302485|Phaeobacter	28211|Alphaproteobacteria	L	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage	uvrB	-	-	ko:K03702	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	Helicase_C,ResIII,UVR,UvrB
gene-OL67_RS12315	1423144.Gal_00816	5.87e-48	155.0	29V4X@1|root,32YYV@2|Bacteria,1N9HD@1224|Proteobacteria,2UFQA@28211|Alphaproteobacteria,34FUI@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS12320	1423144.Gal_00815	3.56e-31	109.0	2EGMT@1|root,33ADY@2|Bacteria,1NH3I@1224|Proteobacteria,2UFRY@28211|Alphaproteobacteria,34GM9@302485|Phaeobacter	28211|Alphaproteobacteria	S	Phospholipase_D-nuclease N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	PLDc_N
gene-OL67_RS12325	391619.PGA1_c26180	2.77e-41	137.0	COG3809@1|root,COG3809@2|Bacteria,1N6ZY@1224|Proteobacteria,2UFVY@28211|Alphaproteobacteria,34FXJ@302485|Phaeobacter	28211|Alphaproteobacteria	S	Transcription factor zinc-finger	-	-	-	ko:K09981	-	-	-	-	ko00000	-	-	-	zf-TFIIB
gene-OL67_RS12330	391619.PGA1_c26190	9.94e-90	263.0	COG0589@1|root,COG0589@2|Bacteria,1RHZG@1224|Proteobacteria,2U792@28211|Alphaproteobacteria,34FMW@302485|Phaeobacter	28211|Alphaproteobacteria	T	Universal stress protein family	-	-	-	-	-	-	-	-	-	-	-	-	Usp
gene-OL67_RS12335	391619.PGA1_c26200	7.01e-69	208.0	COG1359@1|root,COG1359@2|Bacteria,1RHSN@1224|Proteobacteria,2U9WY@28211|Alphaproteobacteria,34FND@302485|Phaeobacter	28211|Alphaproteobacteria	S	Antibiotic biosynthesis monooxygenase	-	-	-	-	-	-	-	-	-	-	-	-	ABM
gene-OL67_RS12340	1423144.Gal_00810	2.91e-148	420.0	29KTS@1|root,307R7@2|Bacteria,1N8YZ@1224|Proteobacteria,2U1AF@28211|Alphaproteobacteria,34FR7@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
